ID,Q1: Which of the following best describes your primary responsibilities?,"Q2: What AI-related skills or experience are you most looking for in candidates in 2025? _Proficiency in AI tools (e.g., ChatGPT, MidJourney, or AI automation software)",Q2: What AI-related skills or experience are you most looking for in candidates in 2025? _Machine learning and data analysis skills,"Q2: What AI-related skills or experience are you most looking for in candidates in 2025? _AI model development and programming (e.g., Python, TensorFlow, PyTorch)",Q2: What AI-related skills or experience are you most looking for in candidates in 2025? _Experience integrating AI into workflows or systems,Q2: What AI-related skills or experience are you most looking for in candidates in 2025? _Prompt engineering (crafting effective prompts to optimize AI performance),Q2: What AI-related skills or experience are you most looking for in candidates in 2025? _Understanding ethical AI use and responsible implementation,Q2: What AI-related skills or experience are you most looking for in candidates in 2025? _Problem-solving or critical thinking skills specific to AI challenges,"Q2: What AI-related skills or experience are you most looking for in candidates in 2025? _None, weâ€™re not currently prioritizing AI skills",Q3: To what degree do you agree with the following statements on how AI will impact your companyâ€™s hiring process in the new year?  AI will make recruitment faster and more efficient,Q3: To what degree do you agree with the following statements on how AI will impact your companyâ€™s hiring process in the new year?  AI will help identify better-quality candidates,Q3: To what degree do you agree with the following statements on how AI will impact your companyâ€™s hiring process in the new year?  AI will create new challenges in assessing candidatesâ€™ authenticity,Q3: To what degree do you agree with the following statements on how AI will impact your companyâ€™s hiring process in the new year?  I donâ€™t think AI will have a significant impact,Q3: To what degree do you agree with the following statements on how AI will impact your companyâ€™s hiring process in the new year?  AI hiring tools will help diversity efforts by reducing bias,Q3: To what degree do you agree with the following statements on how AI will impact your companyâ€™s hiring process in the new year?  I am concerned about candidates using AI tools in their applications.,Q4: Which of the following situations have you come across during the recruitment process?_Participants using deepfake technology during video interviews,Q4: Which of the following situations have you come across during the recruitment process?_AI-generated user profiles on LinkedIn or other social media profiles,Q4: Which of the following situations have you come across during the recruitment process?_AI-generated resumes or cover letters,Q4: Which of the following situations have you come across during the recruitment process?_Participants using AI to cheat on online skills assessments,"Q4: Which of the following situations have you come across during the recruitment process?_Candidates submitting AI-generated portfolio projects or creative work (e.g., writing samples, art, designs, or code)",Q4: Which of the following situations have you come across during the recruitment process?_I havenâ€™t come across or noticed the use of AI in a candidateâ€™s application,Q5: In what areas have you or your company implemented AI tools to improve or streamline the recruitment process?_Screening resumes and job applications,Q5: In what areas have you or your company implemented AI tools to improve or streamline the recruitment process?_Automating initial candidate outreach and communication,Q5: In what areas have you or your company implemented AI tools to improve or streamline the recruitment process?_Conducting AI-assisted video interviews,Q5: In what areas have you or your company implemented AI tools to improve or streamline the recruitment process?_Matching candidates to job roles based on skills,Q5: In what areas have you or your company implemented AI tools to improve or streamline the recruitment process?_Reducing bias in the recruitment process,Q5: In what areas have you or your company implemented AI tools to improve or streamline the recruitment process?_None of the above,"Q6: How do you view candidates who disclose mental health conditions or neurodivergence (e.g., ADHD, autism) during the hiring process?",Q7: Does your company provide training for hiring managers on neurodiversity or mental health awareness?,"Q8: Are candidates asking about mental health benefits (e.g., therapy coverage, mental health days) during the hiring process?","Q9: Radfordâ€™s Career Ladder system considers a Masterâ€™s Degree equivalent to 2 years of work experience. Based on your hiring experience, do employees with a Masterâ€™s Degree perform at a higher level than those with a Bachelor's Degree plus the equivalent 2 years of work experience?","Q10: When hiring, how much more pay is typically offered to job seekers with a masterâ€™s degree?",Q11: Are you seeing more applicants per role in comparison to the previous year?,"Q12: How likely are you to consider applicants who apply through your company's social media platforms (e.g., TikTok, Instagram, or Facebook) instead of following the standard application process?",Q13: Which generation do you feel most aligns with your hiring preferences or company culture?  Gen Z,Q13: Which generation do you feel most aligns with your hiring preferences or company culture?  Millennials,Q13: Which generation do you feel most aligns with your hiring preferences or company culture?  Gen X,Q13: Which generation do you feel most aligns with your hiring preferences or company culture?  Boomers,Q14: What behavior from candidates annoys you the most during the hiring process?_Lack of preparation,Q14: What behavior from candidates annoys you the most during the hiring process?_Being late to the interview,"Q14: What behavior from candidates annoys you the most during the hiring process?_Poor communication (e.g., failing to respond or provide updates promptly)",Q14: What behavior from candidates annoys you the most during the hiring process?_Misrepresentation or dishonesty,Q14: What behavior from candidates annoys you the most during the hiring process?_Arrogance or entitlement,Q14: What behavior from candidates annoys you the most during the hiring process?_Ghosting (failing to show up or respond without notice),Q14: What behavior from candidates annoys you the most during the hiring process?_Not following instructions,Q14: What behavior from candidates annoys you the most during the hiring process?_Showing a lack of enthusiasm or passion,"Q14: What behavior from candidates annoys you the most during the hiring process?_Making unrealistic demands (e.g., unrealistic salary or benefit requests)",Q15: Do pronouns on a resume influence how you view a candidate?,Q16: Would you be willing to hire a foreign worker if they are more qualified than a US national?,Weight,Country,Generation,Gender,Household income US,Education Level,Ethnicity (Simplified),Race,Parental Status / Pregnancy Status_I am pregnant/expecting a child within the next 9 months,Parental Status / Pregnancy Status_I have one or more children under the age of 18 living in my household,Parental Status / Pregnancy Status_I have one or more children over the age of 18 living in my household,Parental Status / Pregnancy Status_I have no children living in my household and I am not pregnant/expecting a child within the next 9 months,US Region,US Division,US State,Employment Status
1,I am responsible for making hiring decisions and managing recruitment for my team or department,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Negatively; it raises concerns about their ability to perform,"No, we donâ€™t see a need for it","No, I havenâ€™t experienced this","No, those with a master's degree work at a slightly lower level",5%,"Yes, a bit more",Likely,4,2,1,3,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Selected,Not Selected,"Yes, negatively","Yes, I would be willing, regardless of visa requirements.",0.53,USA,Millennials,Male,"$75,000Ð$99,999",Completed some postgraduate,Asian,Asian - Asian Indian,Not Selected,Not Selected,Selected,Not Selected,South,South Atlantic,North Carolina,Employed full-time
2,I am responsible for making hiring decisions and managing recruitment for my team or department,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Neutral; it doesnâ€™t affect my decision,"No, but weâ€™re considering it","No, I havenâ€™t experienced this","Yes, those with a master's degree work at a slightly higher level",5%,Itâ€™s around the same,Unlikely,2,4,1,3,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, it wouldnâ€™t influence my decision","Yes, as long as they will never require require visa sponsorship",0.79,USA,Gen X,Male,"$150,000Ð$199,999",Bachelor's degree,White,White,Not Selected,Selected,Selected,Not Selected,South,South Atlantic,Maryland,Employed full-time
3,"I assist with recruitment by coordinating interviews, evaluating candidates, or onboarding new hires",Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Positively; it reflects honesty and self-awareness,"Yes, we have formal training","Occasionally, but not often","Yes, those with a master's degree work at a slightly higher level",15%,"Yes, a bit more",Likely,2,3,4,1,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, it wouldnâ€™t influence my decision","Yes, as long as they donâ€™t currently require visa sponsorship (but may in the future).",0.92,USA,Baby Boomers,Male,"$25,000Ð$49,999",Associates Degree,Black or African American,Black or African American,Not Selected,Not Selected,Not Selected,Selected,West,Pacific,California,Employed part-time
4,I am responsible for making hiring decisions and managing recruitment for my team or department,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Positively; it reflects honesty and self-awareness,Iâ€™m not aware of any initiatives,"Occasionally, but not often",Itâ€™s about the same,5%,"Yes, a bit more","Not applicable, we donâ€™t have a social media presence",2,3,1,4,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,"No, it wouldnâ€™t influence my decision","Yes, as long as they have previously worked or studied in the U.S. (but need sponsorship)",1.04,USA,Gen X,Female,"$75,000Ð$99,999",Masters degree,White,White,Not Selected,Selected,Not Selected,Not Selected,Northeast,New England,Massachusetts,Employed full-time
5,"I assist with recruitment by coordinating interviews, evaluating candidates, or onboarding new hires",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Negatively; it raises concerns about their ability to perform,"No, we donâ€™t see a need for it","Yes, itâ€™s common",Itâ€™s about the same,10%,"Yes, considerably more",Very unlikely,2,3,4,1,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,"Yes, negatively","Yes, I would be willing, regardless of visa requirements.",0.59,USA,Millennials,Male,"$25,000Ð$49,999",Completed some college,White,White,Not Selected,Not Selected,Not Selected,Selected,South,South Atlantic,North Carolina,Self-employed full-time
6,"I assist with recruitment by coordinating interviews, evaluating candidates, or onboarding new hires",Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Not Selected,Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Positively; it reflects honesty and self-awareness,"No, but weâ€™re considering it","Occasionally, but not often","Yes, those with a master's degree work at a slightly higher level",15%,"Yes, a bit more",Very likely,2,4,1,3,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,"Yes, positively","Yes, I would be willing, regardless of visa requirements.",2.67,USA,Gen Z,Male,"Under $25,000",High school graduate,Asian,Asian - Asian Indian,Not Selected,Not Selected,Not Selected,Selected,South,South Atlantic,Maryland,Student
7,I am responsible for making hiring decisions and managing recruitment for my team or department,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Disagree,Agree,Disagree,Disagree,Agree,Agree,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Neutral; it doesnâ€™t affect my decision,"No, but weâ€™re considering it","Occasionally, but not often",Itâ€™s about the same,15%,"Yes, a bit more",Unlikely,2,3,4,1,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,"Yes, negatively","Yes, I would be willing, regardless of visa requirements.",0.53,USA,Millennials,Male,"$200,000+",Masters degree,White,White,Not Selected,Not Selected,Not Selected,Selected,Midwest,East North Central,Illinois,Employed full-time
8,I am responsible for making hiring decisions and managing recruitment for my team or department,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Neutral; it doesnâ€™t affect my decision,"No, but weâ€™re considering it","No, I havenâ€™t experienced this",Itâ€™s about the same,N/A (a master's degree doesn't impact salary offer),"No, itâ€™s less","Not applicable, we donâ€™t have a social media presence",4,3,2,1,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,"No, it wouldnâ€™t influence my decision",No,2.92,USA,Baby Boomers,Male,"$200,000+",Bachelor's degree,White,White,Not Selected,Not Selected,Selected,Not Selected,West,Pacific,California,Self-employed full-time
9,I am responsible for making hiring decisions and managing recruitment for my team or department,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Neutral; it doesnâ€™t affect my decision,"Yes, we have formal training","Occasionally, but not often",Itâ€™s about the same,20%+,Itâ€™s around the same,Very likely,4,3,1,2,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,"No, it wouldnâ€™t influence my decision","Yes, as long as they donâ€™t currently require visa sponsorship (but may in the future).",0.54,USA,Gen X,Male,"$150,000Ð$199,999",Completed some college,White,White,Not Selected,Not Selected,Not Selected,Selected,South,West South Central,Texas,Employed full-time
10,I am responsible for making hiring decisions and managing recruitment for my team or department,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Positively; it reflects honesty and self-awareness,"No, but weâ€™re considering it","Occasionally, but not often","Yes, those with a master's degree work at a considerably higher level",15%,"Yes, considerably more",Likely,1,2,3,4,Not Selected,Not Selected,Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,"No, it wouldnâ€™t influence my decision","Yes, as long as they have previously worked or studied in the U.S. (but need sponsorship)",0.59,USA,Millennials,Male,"$75,000Ð$99,999",High school graduate,Black or African American,Black or African American,Not Selected,Selected,Not Selected,Not Selected,Midwest,East North Central,Illinois,Employed full-time
